Reading in freezeout surface in CCAKE boost invariant format
u1.56108 1.1986 0.0174301
dat: -4.34682 9.67553 10.6383
u_dot_n: 4.99684
m_over_sigma: 0.00719784
Finished reading surface
Surface data read successfully.
Number of points: 136867

There are 328 mesons, 325 baryons and 325 antibaryons

Particle list read successfully.
Number of particles: 978
Sampling particles...
Progress: 0%
Progress: 0% completed
mbar: 0.920509, omega: 0.0117015, max_w: 1.01089
mbar: 0.92, omega: 0.018477, max_w: 1.01776
mbar: 0.920846, omega: 0.0255456, max_w: 1.02498
mbar: 0.922532, omega: 0.0671034, max_w: 1.06847
mbar: 0.920876, omega: 0.026571, max_w: 1.02603
mbar: 0.920876, omega: 0.026571, max_w: 1.02603
mbar: 0.920876, omega: 0.026571, max_w: 1.02603
mbar: 0.920876, omega: 0.026571, max_w: 1.02603
mbar: 0.920876, omega: 0.026571, max_w: 1.02603
mbar: 0.920876, omega: 0.026571, max_w: 1.02603
mbar: 0.920876, omega: 0.026571, max_w: 1.02603
mbar: 0.920876, omega: 0.026571, max_w: 1.02603
mbar: 0.920876, omega: 0.026571, max_w: 1.02603
mbar: 0.920876, omega: 0.026571, max_w: 1.02603
mbar: 0.920876, omega: 0.026571, max_w: 1.02603
mbar: 0.920876, omega: 0.026571, max_w: 1.02603
mbar: 0.920876, omega: 0.026571, max_w: 1.02603
mbar: 0.920839, omega: 0.00158609, max_w: 1.00072
mbar: 0.921959, omega: 0.0212334, max_w: 1.02057
mbar: 0.920572, omega: 0.032021, max_w: 1.03164
mbar: 0.920231, omega: 0.062821, max_w: 1.06391
mbar: 0.920317, omega: 0.0587448, max_w: 1.05958
Progress: 24.9987%
Progress: 24.9987% completed
mbar: 0.921239, omega: 0.00453059, max_w: 1.00367
mbar: 0.921913, omega: 0.0641244, max_w: 1.06529
mbar: 0.919602, omega: 0.016437, max_w: 1.01569
mbar: 0.922114, omega: 0.0301766, max_w: 1.02973
mbar: 0.921562, omega: 0.0113971, max_w: 1.01058
mbar: 0.922469, omega: 0.0309013, max_w: 1.03048
mbar: 0.922005, omega: 0.0613617, max_w: 1.06235
mbar: 0.921304, omega: 0.0576098, max_w: 1.05838
mbar: 0.921035, omega: 0.0663287, max_w: 1.06764
mbar: 0.919969, omega: 0.0720185, max_w: 1.07374
mbar: 0.920717, omega: 0.0118785, max_w: 1.01107
mbar: 0.919608, omega: 0.00964497, max_w: 1.00882
mbar: 0.921825, omega: 0.00919855, max_w: 1.00836
mbar: 0.92065, omega: 0.00262243, max_w: 1.00175
mbar: 0.92065, omega: 0.00262243, max_w: 1.00175
mbar: 0.92065, omega: 0.00262243, max_w: 1.00175
mbar: 0.92065, omega: 0.00262243, max_w: 1.00175
mbar: 0.921335, omega: 0.0324746, max_w: 1.03211
mbar: 0.918757, omega: 0.00630009, max_w: 1.00544
mbar: 0.923487, omega: 0.0545113, max_w: 1.0551
mbar: 0.923035, omega: 0.0493921, max_w: 1.04971
mbar: 0.921747, omega: 0.0404684, max_w: 1.04039
mbar: 0.918888, omega: 0.0571889, max_w: 1.05794
mbar: 0.921131, omega: 0.0156961, max_w: 1.01494
mbar: 0.921799, omega: 0.0218304, max_w: 1.02118
mbar: 0.920963, omega: 0.029345, max_w: 1.02888
mbar: 0.918929, omega: 0.0147954, max_w: 1.01403
mbar: 0.922387, omega: 0.037137, max_w: 1.03693
mbar: 0.923252, omega: 0.0301063, max_w: 1.02966
mbar: 0.925477, omega: 0.0718848, max_w: 1.07358
mbar: 0.919334, omega: 0.0125662, max_w: 1.01176
mbar: 0.918468, omega: 0.044506, max_w: 1.04461
mbar: 0.922723, omega: 0.0784321, max_w: 1.08064
mbar: 0.921964, omega: 0.0196955, max_w: 1.019
